"AppName","AppURL"
"Google Drive","https://chrome.google.com/webstore/detail/apdfllckaahabafndbhieahigkjlhalf"
"Google Search","https://chrome.google.com/webstore/detail/cakbijpiobnmbelbfeedlopbjkhhligf"
"Smartsheet Chrome App","https://chrome.google.com/webstore/detail/alehdleagcgnimdipdmllebddejplpbi"
"Something About the Author Online","https://chrome.google.com/webstore/detail/llflpelbkikdfkjljejgahlpipdkbojn"
"Dictanote","https://chrome.google.com/webstore/detail/aomjekmpappghadlogpigifkghlmebjk"
"TES Teach with Blendspace","https://chrome.google.com/webstore/detail/agbdildaaolbagmahkbhgalikckjkjoi"
"Calculator","https://chrome.google.com/webstore/detail/joodangkbfjnajiiifokapkpmhfnpleo"
"Capitals","https://chrome.google.com/webstore/detail/hknjpfmofgpecngeknegnfafjmmficah"
"MapClass","https://chrome.google.com/webstore/detail/faedcegfohpjdncchlhlfcfinnfjmmjc"
"LibreOffice Writer on rollApp","https://chrome.google.com/webstore/detail/gnibcjefjdpoannnhgmhoheglmepgggc"
"Hapara Dashboard for Google Apps","https://chrome.google.com/webstore/detail/pkimffcemlhioogdhaflfefoklamojgh"
"Vocabulary.com","https://chrome.google.com/webstore/detail/nacjcabfneebdomlmehblfinaepipepd"
"Loupe Card","https://chrome.google.com/webstore/detail/fmfafeogfilckelfhkhnpklbbnbellpa"
"SPRK Lightning Lab","https://chrome.google.com/webstore/detail/hfiocchbmngcelgfdcfbepgoipapddlh"
"MuseScore on rollApp","https://chrome.google.com/webstore/detail/lajkcaalkdbnkbaljaldmoahhfjlbgad"
"Video Recorder for WeVideo","https://chrome.google.com/webstore/detail/iaiglpeefdoagfbbfhjfbmomnfobojia"
"Typing Test - KeyHero","https://chrome.google.com/webstore/detail/jkcieoaeooeidmpaopkpjpjfakidlabm"
"Gale Artemis: Literary Sources","https://chrome.google.com/webstore/detail/dahmdnchgciekmfnbkjidoahnpogjpmh"
"Jot","https://chrome.google.com/webstore/detail/mnemjleajnmodijhnibpekloajfdjjja"
"Google Slides","https://chrome.google.com/webstore/detail/aapocclcgogkmnckokdopfmhonfmgoek"
"Read&Write for Google Chrome™","https://chrome.google.com/webstore/detail/inoeonmfapjbbkmdafoankkfajkcphgd"
"flowkey - Learn piano","https://chrome.google.com/webstore/detail/jlmilmpimaepjkihnncinbaooibgelhm"
"Piktochart","https://chrome.google.com/webstore/detail/ojgpilphbpmpjlicfhhkgnfbedaeegil"
"OneTab","https://chrome.google.com/webstore/detail/chphlpgkkbolifaimnlloiipkdnihall"
"Kami - PDF and Document Markup","https://chrome.google.com/webstore/detail/ecnphlgnajanjnkcmbpancdjoidceilk"
"Quizlet","https://chrome.google.com/webstore/detail/bgofflgeghkhocbociocnckocbjmomjh"
"VideoNot.es extension","https://chrome.google.com/webstore/detail/kmbcnighpdagelfjmlbakfnciogcelgi"
"Britannica Escolar","https://chrome.google.com/webstore/detail/kjhegkfjihiekcniccimlfbafpoccemn"
"goo.gl URL Shortener","https://chrome.google.com/webstore/detail/iblijlcdoidgdpfknkckljiocdbnlagk"
"Chameleon","https://chrome.google.com/webstore/detail/acdpiemklcfaoglpjmidpjdbhkgdoede"
"Pear Deck","https://chrome.google.com/webstore/detail/dnloadmamaeibnaadmfdfelflmmnbajd"
"Simplebooklet","https://chrome.google.com/webstore/detail/lhfhnhfkmicpmbafobnpegjhaihjinph"
